"","sample_barcode","collection_label","project","site_code","site_name","collection_date","accessioned","sample_type","habitat","host","trophic","site_type","metadata","lat","long","empo_1","empo_2","empo_3","PI","Processing","common_name","family","genus","species","taxonomy_info","photo","photo.notes"
"713",825,"EmergenceC-1-4","Keck","01","Entrance","20180306","Yes","WoodArthropod","Terrestrial","Animal","Environmental","Core Waimea","Midge, 3/12/2018",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu","Sort","Midge","Chironomidae",NA,NA,"what kind of midge?","N",NA
"714",826,"EmergenceA-1-3","Keck","01","Entrance","20180306","Yes","WoodArthropod","Terrestrial","Animal","Environmental","Core Waimea","Small worm, 3/19/2018",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu","Sort","Worm",NA,NA,NA,"what kind of worm?","N",NA
"715",827,"EmergenceB-1-7","Keck","01","Entrance","20180306","Yes","WoodArthropod","Terrestrial","Animal","Environmental","Core Waimea","Small worm, 3/19/2018",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu","Sort","Worm",NA,NA,NA,"what kind of worm?","N",NA
"716",828,"EmergenceC-1-2","Keck","01","Entrance","20180306","Yes","WoodArthropod","Terrestrial","Animal","Environmental","Core Waimea","Small worm, 3/19/2018",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu","Sort","Worm",NA,NA,NA,"what kind of worm?","N",NA
"717",829,"EmergenceA-1-8","Keck","01","Entrance","20180306","Yes","WoodArthropod","Terrestrial","Animal","Environmental","Core Waimea","Small beetle, 3/19/2018",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu","Sort","Beetle",NA,NA,NA,"what kind of beetle?","N",NA
"718",830,"EmergenceB-1-7","Keck","01","Entrance","20180306","Yes","WoodArthropod","Terrestrial","Animal","Environmental","Core Waimea","Small beetle, 3/12/2018",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu","Sort","Beetle",NA,NA,NA,"what kind of beetle?","N",NA
"719",831,"EmergenceC-1-9","Keck","01","Entrance","20180306","Yes","WoodArthropod","Terrestrial","Animal","Environmental","Core Waimea","Small beetle, 3/27/2018",21.6336,-158.05209,"Host-associated","Animal","Animal corpus","Nhu","Sort","Beetle",NA,NA,NA,"what kind of beetle?","N",NA
"720",832,"Coral","Keck",NA,"Lab",NA,"Yes","CoralTest","Marine","Animal","PrimaryProducer",NA,"MN extract",NA,NA,"Host-associated","Animal","Animal corpus","Craig",NA,"Coral",NA,NA,NA,"what kind of coral?","N",NA
"721",837,"InvertType2A-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Sponge",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Sponge",NA,NA,NA,"what kind of sponge?","N",NA
"722",838,"InvertType2B-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Sponge",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Sponge",NA,NA,NA,"what kind of sponge?","InvertType_2B_Site1_1.JPG",NA
"723",839,"InvertType2C-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Sponge",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Sponge",NA,NA,NA,"what kind of sponge?","N",NA
"724",840,"InvertType3A-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Sponge",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Sponge",NA,NA,NA,"what kind of sponge?","InvertType_3A_3B_Site1_1.JPG",NA
"725",841,"InvertType3B-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Sponge",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Sponge",NA,NA,NA,"what kind of sponge?","InvertType_3A_3B_Site1_1.JPG",NA
"726",842,"InvertType3C-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Sponge",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Sponge",NA,NA,NA,"what kind of sponge?","N",NA
"727",843,"InvertType4A-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Tunicate",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Tunicate",NA,NA,NA,"what kind of tunicate? suspension feeder","InvertType_4A_Site1_1.JPG","1 other photo available"
"728",844,"InvertType4B-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Tunicate",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Tunicate",NA,NA,NA,"what kind of tunicate? suspension feeder","N",NA
"729",846,"InvertType5A-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Eucidaris metularia",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Urchin","Cidaridae","Eucidaris","metularia","","N",NA
"730",847,"InvertType5B-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Eucidaris metularia",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Urchin","Cidaridae","Eucidaris","metularia","","N",NA
"731",848,"InvertType5C-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Eucidaris metularia",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Urchin","Cidaridae","Eucidaris","metularia","","N",NA
"732",849,"CoralType1A-M1","Keck","M1","OutsideOcean","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Cauliflower red",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral",NA,NA,NA,"what kind of coral?","N",NA
"733",850,"CoralType1B-M1","Keck","M1","OutsideOcean","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Cauliflower red",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral",NA,NA,NA,"what kind of coral?","N",NA
"734",851,"CoralType1C-M1","Keck","M1","OutsideOcean","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Cauliflower red",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral",NA,NA,NA,"what kind of coral?","N",NA
"735",852,"CoralType2A-M1","Keck","M1","OutsideOcean","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Lobata yellow",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral",NA,NA,NA,"what kind of coral?","N",NA
"736",853,"CoralType2B-M1","Keck","M1","OutsideOcean","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Lobata yellow",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral",NA,NA,NA,"what kind of coral?","N",NA
"737",854,"CoralType2C-M1","Keck","M1","OutsideOcean","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Lobata yellow",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral",NA,NA,NA,"what kind of coral?","N",NA
"738",855,"CoralType3A-M1","Keck","M1","OutsideOcean","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Ground blue",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral",NA,NA,NA,"what kind of coral?","N",NA
"739",856,"CoralType3B-M1","Keck","M1","OutsideOcean","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Ground blue",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral",NA,NA,NA,"what kind of coral?","N",NA
"740",857,"CoralType3C-M1","Keck","M1","OutsideOcean","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Ground blue",21.63854,-158.07167,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral",NA,NA,NA,"what kind of coral?","N",NA
"741",858,"SedimentA-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineSediment","Marine","Nonhost","Environmental","Core Waimea","Sand",21.63854,-158.07167,"Free-living","Saline","Sediment(saline)","Craig","","MarineSediment",NA,NA,NA,NA,NA,NA
"742",859,"SedimentB-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineSediment","Marine","Nonhost","Environmental","Core Waimea","Sand",21.63854,-158.07167,"Free-living","Saline","Sediment(saline)","Craig","","MarineSediment",NA,NA,NA,NA,NA,NA
"743",860,"SedimentC-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineSediment","Marine","Nonhost","Environmental","Core Waimea","Sand",21.63854,-158.07167,"Free-living","Saline","Sediment(saline)","Craig","","MarineSediment",NA,NA,NA,NA,NA,NA
"744",871,"RockSwab1A-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63854,-158.07167,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"745",872,"RockSwab1B-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63854,-158.07167,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"746",873,"RockSwab1C-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63854,-158.07167,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"747",874,"RockSwab2A-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63854,-158.07167,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"748",875,"RockSwab2B-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63854,-158.07167,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"749",876,"RockSwab2C-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63854,-158.07167,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"750",877,"RockSwab3A-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63854,-158.07167,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"751",878,"RockSwab3B-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63854,-158.07167,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"752",879,"RockSwab3C-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63854,-158.07167,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"753",880,"RockSwab4A-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63854,-158.07167,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"754",881,"RockSwab4B-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63854,-158.07167,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"755",882,"RockSwab4C-M1","Keck","M1","OutsideOcean","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63854,-158.07167,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"756",883,"Limu1A-M1","Keck","M1","OutsideOcean","20181025","Yes","Limu","Marine","Plant","PrimaryProducer","Core Waimea","Spirellium or astelium sp",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Algae","Spirillaceae/Asteliaceae","Spirellium/Astelium","","ask for species help + genus confirmation","N",NA
"757",884,"Limu2A-M1","Keck","M1","OutsideOcean","20181025","Yes","Limu","Marine","Plant","PrimaryProducer","Core Waimea","Unknown",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Algae",NA,NA,NA,"what kind of seaweed?","Limu_2A_Site1_1.JPG",NA
"758",885,"Limu2B-M1","Keck","M1","OutsideOcean","20181025","Yes","Limu","Marine","Plant","PrimaryProducer","Core Waimea","Unknown",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Algae",NA,NA,NA,"what kind of seaweed?","N",NA
"759",886,"Limu2C-M1","Keck","M1","OutsideOcean","20181025","Yes","Limu","Marine","Plant","PrimaryProducer","Core Waimea","Unknown",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Algae",NA,NA,NA,"what kind of seaweed?","N",NA
"760",887,"Limu3A-M1","Keck","M1","OutsideOcean","20181025","Yes","Limu","Marine","Plant","PrimaryProducer","Core Waimea","Halimeda discoidea",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Algae","Halimedaceae","Halimeda","discoidea","","N",NA
"761",888,"Limu3B-M1","Keck","M1","OutsideOcean","20181025","Yes","Limu","Marine","Plant","PrimaryProducer","Core Waimea","Halimeda discoidea",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Algae","Halimedaceae","Halimeda","discoidea","","Limu_3B_Site1_1.JPG","1 other photo available"
"762",889,"Limu3C-M1","Keck","M1","OutsideOcean","20181025","Yes","Limu","Marine","Plant","PrimaryProducer","Core Waimea","Halimeda discoidea",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Algae","Halimedaceae","Halimeda","discoidea","","N",NA
"763",890,"Limu4A-M1","Keck","M1","OutsideOcean","20181025","Yes","Limu","Marine","Plant","PrimaryProducer","Core Waimea","Liagora sp",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Algae","Liagoraceae","Liagora",NA,"ask for species help","N",NA
"764",891,"Limu4B-M1","Keck","M1","OutsideOcean","20181025","Yes","Limu","Marine","Plant","PrimaryProducer","Core Waimea","Liagora sp",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Algae","Liagoraceae","Liagora",NA,"ask for species help","N",NA
"765",892,"Limu4C-M1","Keck","M1","OutsideOcean","20181025","Yes","Limu","Marine","Plant","PrimaryProducer","Core Waimea","Liagora sp",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Algae","Liagoraceae","Liagora",NA,"ask for species help","N",NA
"766",893,"Limu5A-M1","Keck","M1","OutsideOcean","20181025","Yes","Limu","Marine","Plant","PrimaryProducer","Core Waimea","Laurencia sp",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Algae","Rhodomelaceae","Laurencia",NA,"ask for species help","N",NA
"767",894,"Limu5B-M1","Keck","M1","OutsideOcean","20181025","Yes","Limu","Marine","Plant","PrimaryProducer","Core Waimea","Laurencia sp",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Algae","Rhodomelaceae","Laurencia",NA,"ask for species help","Limu_5B_Site1_1.JPG","1 other photo available"
"768",895,"Limu5C-M1","Keck","M1","OutsideOcean","20181025","Yes","Limu","Marine","Plant","PrimaryProducer","Core Waimea","Laurencia sp",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","Algae","Rhodomelaceae","Laurencia",NA,"ask for species help","N",NA
"769",896,"CCAType1A-M1","Keck","M1","OutsideOcean","20181025","Yes","CCA","Marine","Plant","PrimaryProducer","Core Waimea","Purple",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","CCA",NA,NA,NA,"what kind of purple CCA?","N",NA
"770",897,"CCAType1B-M1","Keck","M1","OutsideOcean","20181025","Yes","CCA","Marine","Plant","PrimaryProducer","Core Waimea","Purple",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","CCA",NA,NA,NA,"what kind of purple CCA?","N",NA
"771",898,"CCAType1C-M1","Keck","M1","OutsideOcean","20181025","Yes","CCA","Marine","Plant","PrimaryProducer","Core Waimea","Purple",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","CCA",NA,NA,NA,"what kind of purple CCA?","N",NA
"772",899,"CCAType2A-M1","Keck","M1","OutsideOcean","20181025","Yes","CCA","Marine","Plant","PrimaryProducer","Core Waimea","Red",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","CCA",NA,NA,NA,"what kind of red CCA?","N",NA
"773",900,"CCAType2B-M1","Keck","M1","OutsideOcean","20181025","Yes","CCA","Marine","Plant","PrimaryProducer","Core Waimea","Red",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","CCA",NA,NA,NA,"what kind of red CCA?","N",NA
"774",901,"CCAType2C-M1","Keck","M1","OutsideOcean","20181025","Yes","CCA","Marine","Plant","PrimaryProducer","Core Waimea","Red",21.63854,-158.07167,"Host-associated","Plant","Plant corpus","Anthony","Freeze Dry","CCA",NA,NA,NA,"what kind of red CCA?","N",NA
"775",902,"InvertType1A-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Eucidaris metularia",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Urchin","Cidaridae","Eucidaris","metularia","","N",NA
"776",903,"InvertType1B-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Eucidaris metularia",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Urchin","Cidaridae","Eucidaris","metularia","","InvertType_1B_Site3_1.JPG","1 other photo, in Marine 1 folder > Invertebrate Type > Site 3"
"777",904,"InvertType1C-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Eucidaris metularia",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Urchin","Cidaridae","Eucidaris","metularia","","N",NA
"778",905,"InvertType2A-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Echinometra mathaei",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Urchin","Echinometridae","Echinometra","mathaei","","N",NA
"779",906,"InvertType2B-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Echinometra mathaei",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Urchin","Echinometridae","Echinometra","mathaei","","N",NA
"780",907,"InvertType2C-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Echinometra mathaei",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Urchin","Echinometridae","Echinometra","mathaei","","InvertType_2C_Site3_4.JPG","2 other photos, 1 video"
"781",908,"InvertType3A-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Hyrtios sp",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Sponge","Thorectidae","Hyrtios",NA,"ask for species help","N",NA
"782",909,"InvertType3B-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Hyrtios sp",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Sponge","Thorectidae","Hyrtios",NA,"ask for species help","N",NA
"783",910,"InvertType3C-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Hyrtios sp",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Sponge","Thorectidae","Hyrtios",NA,"ask for species help","InvertType_3C_Site3_2.JPG",NA
"784",911,"InvertType4A-M2-in","Keck","M2","OutsideRocks","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Tripneustestes sp shell contents",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Urchin","Toxopneustidae","Tripneustes",NA,"ask for species help","N",NA
"785",912,"InvertType4B-M2-in","Keck","M2","OutsideRocks","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Tripneustestes sp shell contents",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Urchin","Toxopneustidae","Tripneustes",NA,"ask for species help","N",NA
"786",913,"InvertType4C-M2-in","Keck","M2","OutsideRocks","20181025","Yes","MarineInvert","Marine","Animal","Unknown","Core Waimea","Tripneustestes sp shell contents",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Urchin","Toxopneustidae","Tripneustes",NA,"ask for species help","N",NA
"787",914,"CoralType1A-M2","Keck","M2","OutsideRocks","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Cauliflower red",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral",NA,NA,NA,"what kind of coral?","CoralType_1A_Site3_1.JPG","2 other photos available"
"788",915,"CoralType1B-M2","Keck","M2","OutsideRocks","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Cauliflower red",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral",NA,NA,NA,"what kind of coral?","N",NA
"789",916,"CoralType1C-M2","Keck","M2","OutsideRocks","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Cauliflower red",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral",NA,NA,NA,"what kind of coral?","N",NA
"790",917,"CoralType2A-M2","Keck","M2","OutsideRocks","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Ground yellow",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral",NA,NA,NA,"what kind of coral?","InvertType_2A_Site3_1.JPG","1 other photo, in Marine 1 folder > Invertebrate Type > Site 3"
"791",918,"CoralType2B-M2","Keck","M2","OutsideRocks","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Ground yellow",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral",NA,NA,NA,"what kind of coral?","N",NA
"792",919,"CoralType2C-M2","Keck","M2","OutsideRocks","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Ground yellow",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral",NA,NA,NA,"what kind of coral?","CoralType_2C_Site3_1.JPG","2 other photos available"
"793",920,"CoralType3A-M2","Keck","M2","OutsideRocks","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Rice",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral","Acroporidae","Montipora","capitata","","CoralType_3A_Site3_1.JPG","2 other photos available"
"794",921,"CoralType3B-M2","Keck","M2","OutsideRocks","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Rice",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral","Acroporidae","Montipora","capitata","","N",NA
"795",922,"CoralType3C-M2","Keck","M2","OutsideRocks","20181025","Yes","Coral","Marine","Animal","PrimaryProducer","Core Waimea","Rice",21.63852,-158.07061,"Host-associated","Animal","Animal corpus","Craig","Freeze Dry","Coral","Acroporidae","Montipora","capitata","","N",NA
"796",933,"RockSwab1A-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63852,-158.07061,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"797",934,"RockSwab1B-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63852,-158.07061,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"798",935,"RockSwab1C-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63852,-158.07061,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"799",936,"RockSwab2A-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63852,-158.07061,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"800",937,"RockSwab2B-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63852,-158.07061,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"801",938,"RockSwab2C-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63852,-158.07061,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"802",939,"RockSwab3A-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63852,-158.07061,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"803",940,"RockSwab3B-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63852,-158.07061,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"804",941,"RockSwab3C-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63852,-158.07061,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"805",942,"RockSwab4A-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63852,-158.07061,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
"806",943,"RockSwab4B-M2","Keck","M2","OutsideRocks","20181025","Yes","MarineRockSwab","Marine","Nonhost","Environmental","Core Waimea","submerged boulders",21.63852,-158.07061,"Free-living","Saline","Surface (saline)","Craig","","MarineRockSwab",NA,NA,NA,NA,NA,NA
